Artista,Género,Numero_rerproducciones
Rihanna,"hip hop, pop, R&B",25
Eminem,hip hop,21
Calvin Harris,"hip hop, pop, Dance/Electronic",20
Britney Spears,pop,18
Beyoncé,"pop, R&B",16
Black Eyed Peas,"hip hop, pop",14
Coldplay,"rock, pop",13
Avicii,"pop, Dance/Electronic",10
Linkin Park,"rock, metal",9
Enrique Iglesias,"pop, latin",9
Pitbull,"hip hop, pop, latin",9
Robbie Williams,"pop, rock",6
Red Hot Chili Peppers,rock,6
Ellie Goulding,"pop, rock, Dance/Electronic",6
3 Doors Down,"pop, rock, metal",5
Travis Scott,"hip hop, Dance/Electronic",5
Kelis,"pop, R&B, Dance/Electronic",4
Limp Bizkit,metal,3
D12,"hip hop, pop, rock",3
Baby Bash,"hip hop, pop, R&B, latin",3
Daddy Yankee,latin,3
Amy Winehouse,R&B,3
Faith Hill,"pop, country",2
Santana,"rock, blues, latin",2
U2,"World/Traditional, rock",2
Katie Melua,"pop, easy listening, jazz",2
KT Tunstall,"World/Traditional, pop, Folk/Acoustic",2
Rascal Flatts,country,2
J. Holiday,"hip hop, pop, R&B, Dance/Electronic",2
X Ambassadors,"hip hop, rock, pop",2
Flume,Dance/Electronic,2
Tom Jones,"rock, Folk/Acoustic, easy listening",1
Oasis,"Folk/Acoustic, rock",1
DJ Ötzi,"pop, easy listening, Dance/Electronic",1
Fuel,"rock, pop, metal",1
Erykah Badu,"hip hop, R&B",1
The Corrs,"pop, Folk/Acoustic",1
Enya,"World/Traditional, Folk/Acoustic",1
Vanessa Carlton,"Folk/Acoustic, pop",1
Elvis Presley,"rock, easy listening",1
Panjabi MC,"World/Traditional, hip hop",1
The White Stripes,"rock, blues",1
Simply Red,"rock, R&B, Folk/Acoustic, pop",1
Bodyrockers,"rock, Dance/Electronic",1
Bubba Sparxxx,"hip hop, pop, country",1
Snow Patrol,"World/Traditional, rock, pop",1
Sandi Thom,"World/Traditional, pop",1
Jennifer Hudson,"pop, R&B, easy listening",1
The Prodigy,"rock, pop, Dance/Electronic",1
Mumford & Sons,"Folk/Acoustic, rock, pop",1
M83,"rock, pop, metal, Dance/Electronic",1
Grouplove,"pop, rock, Folk/Acoustic",1
Michel Teló,"country, latin",1
KALEO,"rock, classical",1
The Strumbellas,"rock, Folk/Acoustic, pop",1
Hugh Jackman,easy listening,1
Paulo Londra,"hip hop, latin, Dance/Electronic",1
Blanco Brown,"hip hop, country",1
